State,State 2-digit code,PK,Popular votes,Currency Stance,Tariff Stance,Business Stance,Labor Stance,Imperialism Stance
Alabama,AL,52,159692,Fanatic Silverite,Fanatic Free Trade,Regulatory,Crackdown,Anti-Imperialist
Arkansas,AK,53,127866,Fanatic Silverite,Fanatic Free Trade,Regulatory,Crackdown,Anti-Imperialist
California,CA,54,302318,Moderate,Leans Free Trade,Moderate,Moderate,Exceptionalist
Colorado,CO,55,221408,Silverite,Free Trade,Trust-Busting,Sympathetic,Anti-Imperialist
​​Connecticut,CT,56,180195,Fanatic Pro-Gold,Fanatic Protectionist,Non-Interventionist,Strong Crackdown,Imperialist
Delaware,DE,57,41989,Moderate,Leans Free Trade,Leans Regulatory,Conservative,Leans Exceptionalist
Florida,FL,58,39649,Fanatic Silverite,Fanatic Free Trade,Regulatory,Crackdown,Anti-Imperialist
Georgia,GA,59,121410,Fanatic Silverite,Fanatic Free Trade,Regulatory,Crackdown,Anti-Imperialist
Idaho,ID,60,57914,Fanatic Silverite,Free Trade,Fanatic Trust-Busting,Sympathetic,Pacifist
Illinois,IL,61,1131897,International Agreement,Protectionist,Regulatory,Unionized,Leans Exceptionalist
Indiana,IN,62,664094,Silverite,Leans Protectionist,Leans Regulatory,Unionized,Leans Exceptionalist
Iowa,IA,63,530355,International Agreement,Leans Protectionist,Leans Regulatory,Moderate,Leans Exceptionalist
Kansas,KS,64,353766,Silverite,Free Trade,Trust-Busting,Sympathetic,Anti-Imperialist
Kentucky,KY,65,468265,Silverite,Free Trade,Leans Regulatory,Conservative,Leans Anti-Imperialist
Louisiana,LA,66,67906,Fanatic Silverite,Fanatic Free Trade,Regulatory,Crackdown,Anti-Imperialist
Maine,ME,67,105693,Fanatic Pro-Gold,Fanatic Protectionist,Cronyism,Strong Crackdown,Expansionist
Maryland,MD,68,264434,International Agreement,Moderate,Leans Regulatory,Moderate,Leans Anti-Imperialist
Massachusetts,MA,69,414804,Fanatic Pro-Gold,Fanatic Protectionist,Cronyism,Strong Crackdown,Expansionist
Michigan,MI,70,544379,Bland-Allison,Protectionist,Moderate,Unionized,Exceptionalist
Minnesota,MN,71,316311,Pro-Gold,Protectionist,Moderate,Moderate,Imperialist
Mississippi,MS,72,59055,Fanatic Silverite,Fanatic Free Trade,Regulatory,Crackdown,Anti-Imperialist
Missouri,MO,73,683656,Silverite,Free Trade,Trust-Busting,Conservative,Leans Anti-Imperialist
Montana,MT,74,63856,Fanatic Silverite,Free Trade,Fanatic Trust-Busting,Sympathetic,Anti-Imperialist
Nebraska,NE,75,241430,Silverite,Free Trade,Fanatic Trust-Busting,Sympathetic,Pacifist
Nevada,NV,76,10196,Fanatic Silverite,Free Trade,Fanatic Trust-Busting,Sympathetic,Pacifist
New Hampshire,NH,77,92364,Fanatic Pro-Gold,Fanatic Protectionist,Cronyism,Strong Crackdown,Expansionist
New Jersey,NJ,78,401050,Pro-Gold,Fanatic Protectionist,Non-Interventionist,Strong Crackdown,Imperialist
New York,NY,79,1548042,Bland-Allison,Protectionist,Regulatory,Unionized,Imperialist
North Carolina,NC,80,292518,Silverite,Fanatic Free Trade,Regulatory,Crackdown,Anti-Imperialist
North Dakota,ND,81,57791,Bland-Allison,Moderate,Leans Regulatory,Moderate,Leans Exceptionalist
Ohio,OH,82,1040073,International Agreement,Protectionist,Leans Regulatory,Unionized,Exceptionalist
Oregon,OR,83,83251,International Agreement,Moderate,Moderate,Moderate,Leans Exceptionalist
Pennsylvania,PA,84,1173210,Pro-Gold,Fanatic Protectionist,Cronyism,Crackdown,Imperialist
Rhode Island,RL,85,56548,Fanatic Pro-Gold,Fanatic Protectionist,Non-Interventionist,Strong Crackdown,Imperialist
South Carolina,SC,86,50812,Fanatic Silverite,Fanatic Free Trade,Regulatory,Crackdown,Anti-Imperialist
South Dakota,SD,87,96124,International Agreement,Moderate,Leans Regulatory,Moderate,Leans Anti-Imperialist
Tennessee,TN,88,273860,Silverite,Fanatic Free Trade,Regulatory,Conservative,Anti-Imperialist
Texas,TX,89,423706,Fanatic Silverite,Fanatic Free Trade,Regulatory,Crackdown,Anti-Imperialist
Utah,UT,90,93189,Silverite,Free Trade,Trust-Busting,Sympathetic,Anti-Imperialist
Vermont,VT,91,56212,Fanatic Pro-Gold,Fanatic Protectionist,Cronyism,Strong Crackdown,Expansionist
Virginia,VA,92,264208,Silverite,Fanatic Free Trade,Regulatory,Conservative,Anti-Imperialist
Washington,WA,93,107524,Silverite,Leans Free Trade,Leans Regulatory,Moderate,Leans Exceptionalist
West Virginia,WV,94,220796,Pro-Gold,Protectionist,Leans Regulatory,Sympathetic,Leans Exceptionalist
Wisconsin,WI,95,442501,Bland-Allison,Protectionist,Leans Regulatory,Sympathetic,Exceptionalist
Wyoming,WY,96,24687,Silverite,Free Trade,Leans Regulatory,Sympathetic,Anti-Imperialist
